,path,category,label
0,data/0/60Hz/thermal_mat/R20211104_2447.csv,S0,0
1,data/0/60Hz/thermal_mat/R20211110_2715.csv,S0,0
2,data/0/60Hz/thermal_mat/IR20211103_2310.csv,S0,0
3,data/0/60Hz/thermal_mat/IR20211103_2434.csv,S0,0
4,data/0/60Hz/thermal_mat/R20211104_2476.csv,S0,0
5,data/0/60Hz/thermal_mat/IR20211103_2346.csv,S0,0
6,data/0/60Hz/thermal_mat/R20211104_2585.csv,S0,0
7,data/0/60Hz/thermal_mat/R20211104_2601.csv,S0,0
8,data/0/60Hz/thermal_mat/R20211104_2485.csv,S0,0
9,data/0/60Hz/thermal_mat/R20211110_2761.csv,S0,0
10,data/0/60Hz/thermal_mat/R20211104_2519.csv,S0,0
11,data/0/60Hz/thermal_mat/R20211110_2634.csv,S0,0
12,data/0/60Hz/thermal_mat/R20211110_2776.csv,S0,0
13,data/0/60Hz/thermal_mat/R20211110_2760.csv,S0,0
14,data/0/60Hz/thermal_mat/IR20211103_2364.csv,S0,0
15,data/0/60Hz/thermal_mat/R20211104_2620.csv,S0,0
16,data/0/60Hz/thermal_mat/R20211110_2764.csv,S0,0
17,data/0/60Hz/thermal_mat/R20211110_2633.csv,S0,0
18,data/0/60Hz/thermal_mat/R20211104_2576.csv,S0,0
19,data/0/60Hz/thermal_mat/R20211104_2502.csv,S0,0
20,data/0/60Hz/thermal_mat/R20211110_2783.csv,S0,0
21,data/0/60Hz/thermal_mat/R20211104_2515.csv,S0,0
22,data/0/60Hz/thermal_mat/IR20211103_2311.csv,S0,0
23,data/0/60Hz/thermal_mat/IR20211103_2325.csv,S0,0
24,data/0/60Hz/thermal_mat/IR20211103_2296.csv,S0,0
25,data/0/60Hz/thermal_mat/R20211104_2559.csv,S0,0
26,data/0/60Hz/thermal_mat/R20211104_2578.csv,S0,0
27,data/0/60Hz/thermal_mat/R20211110_2672.csv,S0,0
28,data/0/60Hz/thermal_mat/R20211110_2693.csv,S0,0
29,data/0/60Hz/thermal_mat/IR20211103_2407.csv,S0,0
30,data/0/60Hz/thermal_mat/R20211110_2810.csv,S0,0
31,data/0/60Hz/thermal_mat/R20211104_2539.csv,S0,0
32,data/0/60Hz/thermal_mat/R20211110_2734.csv,S0,0
33,data/0/60Hz/thermal_mat/R20211104_2556.csv,S0,0
34,data/0/60Hz/thermal_mat/R20211104_2466.csv,S0,0
35,data/0/60Hz/thermal_mat/R20211104_2565.csv,S0,0
36,data/0/60Hz/thermal_mat/R20211104_2560.csv,S0,0
37,data/0/60Hz/thermal_mat/R20211110_2751.csv,S0,0
38,data/0/60Hz/thermal_mat/R20211110_2684.csv,S0,0
39,data/0/60Hz/thermal_mat/R20211104_2541.csv,S0,0
40,data/0/60Hz/thermal_mat/IR20211103_2276.csv,S0,0
41,data/0/60Hz/thermal_mat/R20211104_2488.csv,S0,0
42,data/0/60Hz/thermal_mat/R20211104_2526.csv,S0,0
43,data/0/60Hz/thermal_mat/IR20211103_2354.csv,S0,0
44,data/0/60Hz/thermal_mat/IR20211103_2339.csv,S0,0
45,data/0/60Hz/thermal_mat/R20211110_2738.csv,S0,0
46,data/0/60Hz/thermal_mat/IR20211103_2428.csv,S0,0
47,data/0/60Hz/thermal_mat/IR20211103_2385.csv,S0,0
48,data/0/60Hz/thermal_mat/IR20211103_2349.csv,S0,0
49,data/0/60Hz/thermal_mat/IR20211103_2300.csv,S0,0
50,data/0/60Hz/thermal_mat/IR20211103_2297.csv,S0,0
51,data/0/60Hz/thermal_mat/R20211110_2789.csv,S0,0
52,data/0/60Hz/thermal_mat/R20211110_2750.csv,S0,0
53,data/0/60Hz/thermal_mat/R20211104_2456.csv,S0,0
54,data/0/60Hz/thermal_mat/R20211104_2561.csv,S0,0
55,data/0/60Hz/thermal_mat/R20211104_2551.csv,S0,0
56,data/0/60Hz/thermal_mat/R20211110_2656.csv,S0,0
57,data/0/60Hz/thermal_mat/IR20211103_2412.csv,S0,0
58,data/0/60Hz/thermal_mat/R20211104_2445.csv,S0,0
59,data/0/60Hz/thermal_mat/IR20211103_2397.csv,S0,0
60,data/0/60Hz/thermal_mat/R20211110_2711.csv,S0,0
61,data/0/60Hz/thermal_mat/R20211110_2774.csv,S0,0
62,data/0/60Hz/thermal_mat/R20211110_2762.csv,S0,0
63,data/0/60Hz/thermal_mat/IR20211103_2315.csv,S0,0
64,data/0/60Hz/thermal_mat/IR20211103_2419.csv,S0,0
65,data/0/60Hz/thermal_mat/R20211104_2555.csv,S0,0
66,data/0/60Hz/thermal_mat/R20211110_2788.csv,S0,0
67,data/0/60Hz/thermal_mat/R20211104_2537.csv,S0,0
68,data/0/60Hz/thermal_mat/R20211110_2700.csv,S0,0
69,data/0/60Hz/thermal_mat/R20211104_2567.csv,S0,0
70,data/0/60Hz/thermal_mat/R20211104_2563.csv,S0,0
71,data/0/60Hz/thermal_mat/R20211104_2507.csv,S0,0
72,data/0/60Hz/thermal_mat/R20211104_2554.csv,S0,0
73,data/0/60Hz/thermal_mat/R20211110_2743.csv,S0,0
74,data/0/60Hz/thermal_mat/R20211104_2524.csv,S0,0
75,data/0/60Hz/thermal_mat/R20211104_2464.csv,S0,0
76,data/0/60Hz/thermal_mat/R20211110_2782.csv,S0,0
77,data/0/60Hz/thermal_mat/R20211110_2804.csv,S0,0
78,data/0/60Hz/thermal_mat/R20211104_2574.csv,S0,0
79,data/0/60Hz/thermal_mat/R20211110_2682.csv,S0,0
80,data/0/60Hz/thermal_mat/R20211104_2498.csv,S0,0
81,data/0/60Hz/thermal_mat/R20211110_2701.csv,S0,0
82,data/0/60Hz/thermal_mat/R20211104_2474.csv,S0,0
83,data/0/60Hz/thermal_mat/R20211104_2550.csv,S0,0
84,data/0/60Hz/thermal_mat/R20211110_2808.csv,S0,0
85,data/0/60Hz/thermal_mat/IR20211103_2291.csv,S0,0
86,data/0/60Hz/thermal_mat/IR20211103_2387.csv,S0,0
87,data/0/60Hz/thermal_mat/R20211104_2611.csv,S0,0
88,data/0/60Hz/thermal_mat/IR20211103_2281.csv,S0,0
89,data/0/60Hz/thermal_mat/R20211104_2562.csv,S0,0
90,data/0/60Hz/thermal_mat/R20211110_2723.csv,S0,0
91,data/0/60Hz/thermal_mat/R20211110_2791.csv,S0,0
92,data/0/60Hz/thermal_mat/R20211110_2636.csv,S0,0
93,data/0/60Hz/thermal_mat/IR20211103_2382.csv,S0,0
94,data/0/60Hz/thermal_mat/IR20211103_2298.csv,S0,0
95,data/0/60Hz/thermal_mat/R20211104_2619.csv,S0,0
96,data/0/60Hz/thermal_mat/R20211104_2608.csv,S0,0
97,data/0/60Hz/thermal_mat/IR20211103_2289.csv,S0,0
98,data/0/60Hz/thermal_mat/R20211104_2503.csv,S0,0
99,data/0/60Hz/thermal_mat/IR20211103_2401.csv,S0,0
100,data/0/60Hz/thermal_mat/IR20211103_2369.csv,S0,0
101,data/0/60Hz/thermal_mat/R20211110_2681.csv,S0,0
102,data/0/60Hz/thermal_mat/IR20211103_2341.csv,S0,0
103,data/0/60Hz/thermal_mat/R20211110_2649.csv,S0,0
